Aluminum	Al
Ammonium carbonate	(NH4)2CO3
Ammonium nitrate	NH4NO3
Ammonium perchlorate	NH4ClO4
Ammonium picrate	NH4C6H2(NO2)30O
Ammonium sulfate	(NH4)2SO4
Ammonium chloride	NH4Cl
Anthracene	C14H10
Barium nitrate	Ba(NO3)2
Barium chlorate	Ba(ClO3)2H2O
Barium chromate	BaCrO4
Barium peroxide	BaO2
Barium silicide	BaSi2
Paper	-1.3
Vaseline	C18H38
Glycerin	C3H5(OH)3
Glucose	C6H12O6
Explosive mercury	Hg(ONC)2
Dextrin	C6H10O5
Dinitrobenzene	C6H4(NO2)2
Dinitroglycerin	C3H5(ONO2)2OH
Dinitroxylene	C6H2(NO2)2(CH3)2
Dinitronaphthalene	C10H6(NO2)2
Dinitrochlorohydrin	C3H5(ONO2)2Cl
Dinitrophenol	C6H3(NO2)2OH
Dinitrotoluene	C6H3(NO2)2CH3
Dicyandiamide	(CN)2(NH2)2
Potassium Dichromate	K2Cr2O7
Potassium nitrate	KNO3
Potassium chlorate	KClO3
Potassium perchlorate	KClO4
Potassium picrate	C6H2(NO2)3OK
Calcium nitrate	Ca(NO3)2H8O4
Calcium perchlorate	Ca(ClO4)2
Calcium chlorate	Ca(ClO3)2
Calcium silicide	CaSi2
Camphor	C10H16O
Kerosene	-3.43
Fiber	C6H10O5
Starch	C6H10O5
Mannitol	C6H8(OH)6
Mononitroglycerin	C3H5(ONO2)(OH)2
Mononitroglycerin	C10H7NO2
Mononitrochlorohydrin	C3H5(ONO2)OHCl
Mononitrotoluene	C6H4(NO2)CH3
Mononitrophenol	C6H4(NO2)OH
Cereal flour	C15H25O11
Wood flour(peeled.)	C15H22O10
Wood flour(sawdust)	-1.35
Oil(vegetable)	C23H36O7
Sodium nitrate	NaNO3
Sodium chlorate	NaClO3
Sodium perchlorate	NaClO4
Sodium picrate	C6H2(NO2)3ONa
Naphthalene	C10H8
Nitrobenzene	C6H5NO2
Nitroglycerin	C3H5(ONO2)3
Nitroguanidine	C(NH2)2NNO2
Nitrocellulose(colloxylin)	C24H31N9O38
Nitrocellulose(pyroxylin)	C24H29N11O42
Nitro starch	-0.335
Nitromannite	C6H8(NO3)6
Paraffin	C24H50
Picric acid	C6H2(NO2)3OH
Sugar(cane)	C12H22O11
Sulfur	S
Lead nitrate	Pb(NO3)2
Turpentine	C10H16
Strontium nitrate	Sr(NO3)2
Antimony sulphide	Sb2S3
Antimony metal	Sb
Tannin	C14H10O9
Tetranitroaniline	C6H(NH2)(NO2)4
Tetranitrodiglycerin	(C3H5)2O(NO3)4
Tetranitrodimethylaniline	C6H(NO2)3N(CH3)2
Tetranitromethane	C(NO2)4
Teranitromethylaniline	C6H2(NO2)4NCH3
Tetranitronaphthalene	C10H4(NO2)4
Trinitroaniline	C6H2(NO2)3NH2
Trinitrobenzene	C6H3(NO2)3
Trinitrodimethylaniline	C6H2(NO2)3N(CH3)2
Trinitrocresol	C6HCH3(NO2)3OH
Trinitronaphthalene	C10H5(NO2)3
Trinitroresorcinol	C6H(NO2)3(OH)2
Trinitrotoluene	C6H2(NO2)3CH3
Coal	C
Phenol	C6H5OH

