Алюминий	Al
Аммония карбонат	(NH4)2CO3
Аммония нитрат	NH4NO3
Аммония перхлорат	NH4ClO4
Аммония пикрат	NH4C6H2(NO2)3O
Аммония сульфат	(NH4)2SO4
Аммония хлорид	NH4Cl
Антрацен	C14H10
Бария нитрат	Ba(NO3)2
Бария хлорат	Ba(ClO3)2H2O
Бария хромат	BaCrO4
Бария перекись	BaO2
Бария силицид	BaSi2
Бумага	-1.3
Вазелин	C18H38
Глицерин	C3H5(OH)3
Глюкоза	C6H12O6
Гремучая ртуть	Hg(ONC)2
Декстрин	C6H10O5
Динитробензол	C6H4(NO2)2
Динитроглицерин	C3H5(ONO2)2OH
Динитроксилол	C6H2(NO2)2(CH3)2
Динитронафталин	C10H6(NO2)2
Динитрохлоргидрин	C3H5(ONO2)2Cl
Динитрофенол	C6H3(NO2)2OH
Динитротолуол	C6H3(NO2)2CH3
Дициандиамид	(CN)2(NH2)2
Калия бихромат	K2Cr2O7
Калия нитрат	KNO3
Калия хлорат	KClO3
Калия перхлорат	KClO4
Калия пикрат	C6H2(NO2)3OK
Кальция нитрат	Ca(NO3)2H8O4
Кальция перхлорат	Ca(ClO4)2
Кальция хлорат	Ca(ClO3)2
Кальция силицид	CaSi2
Камфора	C10H16O
Керосин	-3.43
Клетчатка	C6H10O5
Крахмал	C6H10O5
Маннит	C6H8(OH)6
Мононитроглицерин	C3H5(ONO2)(OH)2
Мононитроглицерин	C10H7NO2
Мононитрохлоргидрин	C3H5(ONO2)OHCl
Мононитротолуол	C6H4(NO2)CH3
Мононитрофенол	C6H4(NO2)OH
Мука злаков	C15H25O11
Мука древесная(очищ.)	C15H22O10
Мука древесная(опилки)	-1.35
Масло(растительное)	C23H36O7
Натрия нитрат	NaNO3
Натрия хлорат	NaClO3
Натрия перхлорат	NaClO4
Натрия пикрат	C6H2(NO2)3ONa
Нафталин	C10H8
Нитробензол	C6H5NO2
Нитроглицерин	C3H5(ONO2)3
Нитрогуанидин	C(NH2)2NNO2
Нитроклетчатка(коллоксилин)	C24H31N9O38
Нитроклетчатка(пироксилин)	C24H29N11O42
Нитроманнит	C6H8(NO3)6
Парафин	C24H50
Пикриновая кислота	C6H2(NO2)3OH
Сахар(тростниковый)	C12H22O11
Сера	S
Свинца нитрат	Pb(NO3)2
Скипидар	C10H16
Стронция нитрат	Sr(NO3)2
Сурьма сернистая	Sb2S3
Сурьма металлическая	Sb
Таннин	C14H10O9
Тетранитроанилин	C6H(NH2)(NO2)4
Тетранитродиглицерин	(C3H5)2O(NO3)4
Тетранитродиметиланилин	C6H(NO2)3N(CH3)2
Тетранитрометан	C(NO2)4
Теранитрометиланилин	C6H2(NO2)4NCH3
Тетранитронафталин	C10H4(NO2)4
Тринитроанилин	C6H2(NO2)3NH2
Тринитробензол	C6H3(NO2)3
Тринитродиметиланилин	C6H2(NO2)3N(CH3)2
Тринитрокрезол	C6HCH3(NO2)3OH
Тринитронафталин	C10H5(NO2)3
Тринитрорезорцин	C6H(NO2)3(OH)2
Тринитротолуол	C6H2(NO2)3CH3
Уголь	C
Фенол	C6H5OH

